id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link
48191,Women,Accessories,Bags,Handbags,Green,Winter,2016.0,Casual,Fossil Women Green Handbag,http://assets.myntassets.com/v1/images/style/properties/a1f688d262454c704399117f1f52c872_images.jpg
44765,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Globalite Men Black Eclipse Shoes,http://assets.myntassets.com/v1/images/style/properties/d7e586eade7635dbe69b0254d57d0abf_images.jpg
58523,Unisex,Accessories,Accessories,Travel Accessory,Yellow,Summer,2015.0,Casual,Wildcraft Unisex Yellow Travel Pouch,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Yellow-Bag_7a266954e857f7088a3eea1f7bf5305d_images.jpg
28162,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Aviator Sunglasses,http://assets.myntassets.com/v1/images/style/properties/13d8f5e310e177d316e5c4933e87c7a8_images.jpg
20333,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Mr.Men Men Printed Black Tshirt,http://assets.myntassets.com/v1/images/style/properties/cc11926a146d0697b5696b264424148e_images.jpg
43492,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,French Connection Men Off White T-shirt,http://assets.myntassets.com/v1/images/style/properties/b1d53e9c0d085999bd5daf60e8417652_images.jpg
7915,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011.0,Casual,Proline Men Olive Green Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/8d19f4a1e84b303527aab60b88cf06d9_images.jpg
46921,Men,Personal Care,Fragrance,Perfume and Body Mist,Yellow,Spring,2017.0,Casual,York Men 007 Perfume,http://assets.myntassets.com/v1/images/style/properties/015fd89b427d084cd65bf9f8474c0651_images.jpg
4583,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Alfa-Grey-Backpack_2a67e998dbf046001455f7113c0875e4_images.jpg
18484,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Evo Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/245a815199dc7af971b7aec3f94bd57a_images.jpg
41781,Women,Apparel,Topwear,Tunics,Black,Summer,2012.0,Casual,Remanika Women Black Tunic,http://assets.myntassets.com/v1/images/style/properties/29ce7be874f27a463290c9931946acb5_images.jpg
58566,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Puma Men Red T-shirt,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Red-T-shirt_6e76116bd0f99e5c94522079b1e114e0_images.jpg
32462,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men Polo White T-shirt,http://assets.myntassets.com/v1/images/style/properties/2a5a1250753510870af5855b7f191b62_images.jpg
51771,Men,Accessories,Wallets,Wallets,Black,Fall,2012.0,Casual,Hidedge Men Black Wallet,http://assets.myntassets.com/v1/images/style/properties/Hidedge-Men-Black-HIDEDGE-Wallet-Wallets_193827d75f275dad68afd3ca67e1c60c_images.jpg
11319,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011.0,Casual,United Colors of Benetton Women Washed Blue Capris,http://assets.myntassets.com/v1/images/style/properties/f3015f8920d7409b86489812848e336a_images.jpg
25446,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Nike Men Air Rally Brown Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/b26a5fddfa484dfee514fd9331a9ef46_images.jpg
41000,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Girls Woven Blue Shorts,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg
